sexo,forma_envio_solicitacao,estado_onde_reside,produto_solicitado,dia_vencimento,tipo_endereco,idade,estado_civil,qtde_dependentes,nacionalidade,qtde_contas_bancarias,renda_mensal_regular,renda_extra,possui_telefone_residencial,possui_email,possui_cartao_visa,possui_cartao_mastercard,possui_cartao_diners,possui_cartao_amex,possui_outros_cartoes,possui_carro,vinculo_formal_com_empresa,meses_no_trabalho,local_onde_reside,tipo_residencia,meses_na_residencia,profissao,ocupacao,profissao_companheiro,grau_instrucao_companheiro,inadimplente
M,presencial,CE,1,10,1,85,2,0,1,1,480.0,0.0,1,0,0,0,0,0,0,1,0,0,600.0,1.0,12.0,9.0,1.0,0.0,0.0,0
F,internet,SE,1,25,1,38,1,0,1,0,380.0,0.0,1,1,0,0,0,0,0,0,0,0,492.0,1.0,5.0,2.0,5.0,,,0
F,internet,BA,1,20,1,37,2,0,1,0,600.0,0.0,1,1,0,0,0,0,0,0,0,0,450.0,5.0,1.0,,,,,1
M,internet,RS,1,20,1,37,1,1,1,0,460.0,0.0,1,1,0,0,0,0,0,0,1,0,932.0,1.0,1.0,9.0,2.0,,,1
F,internet,BA,7,1,1,51,1,3,1,0,687.0,600.0,1,1,0,0,0,0,0,1,1,0,440.0,0.0,1.0,9.0,5.0,,,1
M,presencial,CE,1,20,1,21,1,1,1,0,382.0,0.0,1,0,1,0,0,0,0,1,1,0,628.0,5.0,2.0,9.0,2.0,0.0,0.0,1
F,presencial,SP,1,15,1,64,4,2,1,1,350.0,0.0,1,1,0,0,0,0,0,1,0,0,190.0,1.0,0.0,10.0,1.0,0.0,0.0,1
F,internet,ES,1,5,1,20,1,0,1,0,800.0,0.0,1,1,0,0,0,0,0,0,0,0,299.0,1.0,5.0,,,,,1
F,internet,GO,2,25,1,39,2,2,1,0,1200.0,0.0,1,1,1,0,0,0,0,0,1,0,756.0,1.0,3.0,9.0,2.0,9.0,4.0,0
M,presencial,RS,1,10,1,44,2,2,1,1,749.0,0.0,0,0,0,0,0,0,0,1,1,0,960.0,1.0,15.0,9.0,2.0,16.0,4.0,1
M,presencial,BA,1,15,1,38,2,0,1,1,660.0,0.0,1,1,0,0,0,0,0,1,1,0,413.0,1.0,10.0,9.0,2.0,0.0,0.0,1
M,internet,CE,1,1,1,23,1,1,1,0,393.0,0.0,1,1,0,1,0,0,0,0,1,0,628.0,,10.0,9.0,2.0,,,0
F,presencial,SP,2,20,1,29,1,1,1,1,400.0,0.0,1,1,0,0,0,0,0,1,0,0,118.0,1.0,0.0,2.0,4.0,0.0,0.0,0
M,internet,RS,1,20,1,28,1,0,1,0,1147.0,0.0,1,1,0,0,0,0,0,0,1,0,960.0,1.0,0.0,9.0,5.0,,,0
M,internet,CE,1,25,1,33,2,1,1,0,250.0,0.0,1,1,0,0,0,0,0,0,0,0,618.0,1.0,4.0,,,,,1
F,presencial,MG,1,25,1,40,2,0,1,1,2600.0,0.0,1,1,0,0,0,0,0,0,0,0,388.0,1.0,14.0,9.0,2.0,,,0
M,internet,AC,1,5,1,41,1,3,1,0,360.0,0.0,1,1,0,0,0,0,0,0,0,0,699.0,1.0,16.0,,,,,0
F,presencial,SP,1,15,1,54,2,0,1,1,800.0,0.0,0,0,0,0,0,0,0,1,0,0,933.0,1.0,7.0,9.0,5.0,0.0,0.0,1
